,Wet/dry ratio (mean across 40 ensemble members)
1921-01-15,0.6811728395061727
1922-01-15,2.2301587301587307
1923-01-15,1.0913546330212995
1924-01-15,1.3756613756613758
1925-01-15,0.8548941798941799
1926-01-15,1.0200897867564536
1927-01-15,1.0061771561771562
1928-01-15,0.48702593702593705
1929-01-15,0.6626823793490461
1930-01-15,3.093121693121693
1931-01-15,0.5516273849607183
1932-01-15,0.7313492063492064
1933-01-15,1.3671957671957673
1934-01-15,0.60995485995486
1935-01-15,0.5254856254856254
1936-01-15,2.5870370370370375
1937-01-15,0.4237654320987654
1938-01-15,1.1336860670194004
1939-01-15,0.7512345679012346
1940-01-15,1.0079805996472664
1941-01-15,0.66161400328067
1942-01-15,0.2768799102132436
1943-01-15,1.1236331569664904
1944-01-15,1.3297619047619047
1945-01-15,1.7783950617283952
1946-01-15,0.6152085568752236
1947-01-15,0.5355218855218856
1948-01-15,0.5895789395789396
1949-01-15,1.6506172839506175
1950-01-15,1.6460317460317462
1951-01-15,0.8746913580246914
1952-01-15,0.8241622574955909
1953-01-15,1.4872975789642455
1954-01-15,1.17010582010582
1955-01-15,0.8801106301106301
1956-01-15,1.6169312169312169
1957-01-15,0.5026936026936027
1958-01-15,1.83994708994709
1959-01-15,0.7573512906846239
1960-01-15,1.9550264550264551
1961-01-15,0.6725768059101392
1962-01-15,0.27444037444037445
1963-01-15,0.7037857204523871
1964-01-15,1.5521164021164022
1965-01-15,3.538888888888889
1966-01-15,0.6176268176268177
1967-01-15,0.6929012345679012
1968-01-15,0.4628507295173962
1969-01-15,1.1226631393298059
1970-01-15,2.8240740740740744
1971-01-15,1.4259259259259263
1972-01-15,1.1997354497354498
1973-01-15,0.9767195767195768
1974-01-15,3.5
1975-01-15,0.9876102292768958
1976-01-15,1.3291005291005291
1977-01-15,2.0908289241622575
1978-01-15,0.56002331002331
1979-01-15,1.2811287477954145
1980-01-15,1.1777296777296777
1981-01-15,0.5922077922077921
1982-01-15,1.4503968253968254
1983-01-15,6.981481481481482
1984-01-15,1.9903920153920154
1985-01-15,0.6793447293447293
1986-01-15,0.8462013295346629
1987-01-15,0.6321548821548821
1988-01-15,0.6990299823633158
1989-01-15,2.1277777777777778
1990-01-15,1.4825396825396826
1991-01-15,0.592022792022792
1992-01-15,0.892416225749559
1993-01-15,4.714814814814814
1994-01-15,0.5897435897435898
1995-01-15,0.7820426487093154
1996-01-15,0.5313131313131314
1997-01-15,4.5
1998-01-15,0.7077807994474661
1999-01-15,0.7847643097643097
2000-01-15,1.0015540015540016
2001-01-15,1.3777777777777775
2002-01-15,0.7786756453423122
2003-01-15,1.2255291005291005
2004-01-15,1.051763668430335
2005-01-15,1.486111111111111
2006-01-15,0.5966070966070965
2007-01-15,0.6627665544332211
2008-01-15,1.0214285714285716
2009-01-15,0.8335537918871253
2010-01-15,1.5690035273368608
2011-01-15,0.5645061728395061
2012-01-15,1.1513107263107263
2013-01-15,1.0551587301587302
2014-01-15,inf
2015-01-15,5.014814814814815
2016-01-15,0.40269298602631937
2017-01-15,0.692881192881193
2018-01-15,2.2185185185185183
2019-01-15,1.6633597883597886
2020-01-15,0.6078347578347577
2021-01-15,1.2025252525252526
2022-01-15,1.0234330484330485
2023-01-15,0.7437710437710437
2024-01-15,1.0507054673721339
2025-01-15,1.1977513227513228
2026-01-15,0.9670422170422172
2027-01-15,0.9585340585340586
2028-01-15,0.8387566137566137
2029-01-15,1.0270963604296937
2030-01-15,0.6405372405372405
2031-01-15,0.9194444444444444
2032-01-15,1.8901555234888567
2033-01-15,3.2074074074074073
2034-01-15,0.9411255411255411
2035-01-15,0.5637806637806638
2036-01-15,0.451460113960114
2037-01-15,1.7155483405483405
2038-01-15,2.076058201058201
2039-01-15,1.3658730158730161
2040-01-15,0.8558361391694724
2041-01-15,0.7682379349046017
2042-01-15,1.0343915343915344
2043-01-15,1.2671957671957672
2044-01-15,0.8332210998877665
2045-01-15,0.8384760301426968
2046-01-15,1.6395502645502644
2047-01-15,1.3730158730158732
2048-01-15,2.128042328042328
2049-01-15,1.2993386243386242
2050-01-15,0.9312909312909313
2051-01-15,0.9199134199134199
2052-01-15,3.6285714285714286
2053-01-15,0.8030518863852198
2054-01-15,0.7391975308641975
2055-01-15,1.3487734487734488
2056-01-15,1.455820105820106
2057-01-15,0.9693562610229277
2058-01-15,1.8174603174603174
2059-01-15,2.2539682539682535
2060-01-15,2.274074074074074
2061-01-15,1.639021164021164
2062-01-15,5.814814814814816
2063-01-15,2.3825396825396825
2064-01-15,1.029489337822671
2065-01-15,1.7191358024691359
2066-01-15,1.1765993265993266
2067-01-15,3.0481481481481487
2068-01-15,2.4703703703703703
2069-01-15,1.5843033509700175
2070-01-15,1.197795414462081
2071-01-15,1.6258898508898507
